Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
POKEMON STADIUM 2,Strategy,Nintendo,E,HAL Laboratory,7.9
MARIO TENNIS ACES,Sports,Nintendo,E,Camelot Software Planning,7.8
CRISIS CORE: FINAL FANTASY VII,Role-Playing,Square Enix,T,Square Enix,8.1
DANCE CENTRAL,Music,MTV Games,T,Harmonix Music Systems,8.4
FAR CRY,Shooter,Ubisoft,M,Crytek,8.6
FINAL FANTASY TACTICS,Role-Playing,Sony Computer Entertainment,T,SquareSoft,8.8
FORZA HORIZON 3,Racing,Microsoft Studios,E,Playground Games,9.0
WARCRAFT III: THE FROZEN THRONE,Strategy,Blizzard Entertainment,T,Blizzard Entertainment,9.2
GAME PARTY,Misc,Midway Games,E,JGI Entertainment,2.6
MORTAL KOMBAT: DEADLY ALLIANCE,Fighting,Midway Games,M,Midway,8.2
WARIOWARE TOUCHED!,Puzzle,Nintendo,E,Intelligent Systems,7.8
